object_id,source_name,source_object,object_name,source_modified_date_column,source_primary_key,required_columns,source_extract_strategy,is_active,table_size,sink_name,sink_schema_name,sink_object_name,sink_strategy
1,NetSuite,Account,Account,lastmodifieddate,id,"accountsearchdisplayname, acctnumber, accttype, class, currency, custrecord585, custrecord807, department, description, displaynamewithhierarchy, externalid, fullname, generalrate, id, isinactive, lastmodifieddate, location, parent, sbankname, sbankroutingnumber, sspecacct",Incremental,1,small,lh_raw,netsuite_waste_harmonics,account,Append
2,NetSuite,accountingPeriod,Accounting Period,lastmodifiedDate,id,,Incremental,1,small,lh_raw,netsuite_waste_harmonics,accountingperiod,Append
3,NetSuite,Activity,Activity,lastmodifieddate,id,,Incremental,1,small,lh_raw,netsuite_waste_harmonics,activity,Append
4,NetSuite,AddressBook,Address Book,,id,,Full,1,small,lh_raw,netsuite_waste_harmonics,addressbook,Overwrite
5,NetSuite,billingSchedule,Billing Schedule,,id,,Full,1,small,lh_raw,netsuite_waste_harmonics,billingschedule,Overwrite
6,NetSuite,classification,Classification,lastmodifieddate,id,,Incremental,1,small,lh_raw,netsuite_waste_harmonics,classification,Append
7,NetSuite,Competitor,Competitor,lastmodifieddate,id,,Incremental,1,small,lh_raw,netsuite_waste_harmonics,classification,Append
8,NetSuite,Contact,Contact,lastModifiedDate,id,,Incremental,1,small,lh_raw,netsuite_waste_harmonics,contact,Append
9,NetSuite,Currency,Currency,lastModifiedDate,id,,Incremental,1,small,lh_raw,netsuite_waste_harmonics,currency,Append
10,NetSuite,Customer,Customer,lastmodifieddate,id,"accountNumber,custentity69,custentity20,category,custentity135,comments,companyName,custentity_competitorfield,custentity42,currency,altname,custentity128,entityTitle,custentity37,custentity52,custentity_customer_type,dateCreated,custentity_disposalsite,custentity7,custentity11,email,entityId,externalId,firstName,custentity5,fullName,custentity_geocode,isInactive,custentity67,id,title,lastModifiedDate,lastName,custentity27,custentity26,middleName,entityNumber,parent,partner,custentity_preferred_vendor,contact,custentity241,custentity180,entityStatus,terms,territory,topLevelParent,custentity15,custentity19,custentity245,custentity75,custentity76,custentity123,custentity101,custentity133",Incremental,1,big,lh_raw,netsuite_waste_harmonics,customer,Append
